Категория;Подкатегория;НаименованиеКолекции;Бренд;Гарантия;Страна;Внимание;КраткоеОписание;Код;НазваниеРазмера;Цена1;Цена2;Цена3;Цвет;H;V;D;СкладРазмера
Однотонная керамика;глянец;Колекция Ксения глянец;Каменный цветок;Нет;;Нет;;000001261;Горшок Ксения 5 26*24*7,5 глянец красный,керамика;278;278;278;красный;211;6,9;270;есть в наличии
Однотонная керамика;глянец;Колекция Ксения глянец;Каменный цветок;Нет;;Нет;;000001262;Горшок Ксения 5 26*24*7,5 глянец шоколад,керамика;278;278;278;шоколад;211;6,9;270;есть в наличии
Однотонная керамика;перламутр;Колекция Ксения перламутр;Каменный цветок;Нет;;Нет;;000001263;Горшок Ксения 5 26*24*7,5 люкс персик,керамика;278;278;278;персик;211;6,9;270;есть в наличии
Однотонная керамика;перламутр;Колекция Ксения перламутр;Каменный цветок;Нет;;Нет;;000001264;Горшок Ксения 5 26*24*7,5 люкс салат,керамика;278;278;278;салат;211;6,9;270;есть в наличии
Однотонная керамика;перламутр;Колекция Ксения перламутр;Каменный цветок;Нет;;Нет;;000001265;Горшок Ксения 5 26*24*7,5 люкс серебро,керамика;278;278;278;серебро;211;6,9;270;есть в наличии
Однотонная керамика;глянец;Колекция Ксения глянец;Каменный цветок;Нет;;Нет;;000001266;Горшок Ксения 6 32*29*13 глянец беж,керамика;399;399;399;бежевый;253;11;298;есть в наличии
Однотонная керамика;глянец;Колекция Ксения глянец;Каменный цветок;Нет;;Нет;;000001267;Горшок Ксения 6 32*29*13 глянец белый,керамика;399;399;399;белый;253;11;298;есть в наличии
Однотонная керамика;глянец;Колекция Ксения глянец;Каменный цветок;Нет;;Нет;;000001268;Горшок Ксения 6 32*29*13 глянец красный,керамика;399;399;399;красный;253;11;298;есть в наличии
Однотонная керамика;глянец;Колекция Ксения глянец;Каменный цветок;Нет;;Нет;;000001269;Горшок Ксения 6 32*29*13 глянец шоколад,керамика;399;399;399;шоколад;253;11;298;есть в наличии
Однотонная керамика;перламутр;Колекция Ксения перламутр;Каменный цветок;Нет;;Нет;;000001270;Горшок Ксения 6 32*29*13 люкс персик,керамика;399;399;399;персик;;11;298;есть в наличии
Однотонная керамика;перламутр;Колекция Ксения перламутр;Каменный цветок;Нет;;Нет;;000001271;Горшок Ксения 6 32*29*13 люкс салат,керамика;399;399;399;салат;;11;298;есть в наличии
Однотонная керамика;перламутр;Колекция Ксения перламутр;Каменный цветок;Нет;;Нет;;000001272;Горшок Ксения 6 32*29*13 люкс серебро,керамика;399;399;399;серебро;;11;298;есть в наличии
Однотонная керамика;глянец;Колекция Ксения глянец;Каменный цветок;Нет;;Нет;;000001273;Горшок Ксения 7 33*30*15 глянец беж,керамика;593;593;593;бежевый;;16;294;есть в наличии
Однотонная керамика;глянец;Колекция Ксения глянец;Каменный цветок;Нет;;Нет;;000001274;Горшок Ксения 7 33*30*15 глянец белый,керамика;593;593;593;белый;;16;294;есть в наличии
Однотонная керамика;глянец;Колекция Ксения глянец;Каменный цветок;Нет;;Нет;;000001275;Горшок Ксения 7 33*30*15 глянец красный,керамика;593;593;593;красный;;16;294;есть в наличии
Однотонная керамика;глянец;Колекция Ксения глянец;Каменный цветок;Нет;;Нет;;000001276;Горшок Ксения 7 33*30*15 глянец шоколад,керамика;593;593;593;шоколад;;16;294;есть в наличии
Однотонная керамика;перламутр;Колекция Ксения перламутр;Каменный цветок;Нет;;Нет;;000001277;Горшок Ксения 7 33*30*15 люкс персик,керамика;593;593;593;персик;;16;357;есть в наличии
Однотонная керамика;перламутр;Колекция Ксения перламутр;Каменный цветок;Нет;;Нет;;000001278;Горшок Ксения 7 33*30*15 люкс салат,керамика;593;593;593;салат;;16;294;есть в наличии
Однотонная керамика;перламутр;Колекция Ксения перламутр;Каменный цветок;Нет;;Нет;;000001279;Горшок Ксения 7 33*30*15 люкс серебро,керамика;593;593;593;серебро;;16;294;есть в наличии
Однотонная керамика;глянец;Колекция КС фиалка глянец;Каменный цветок;Нет;;Нет;;000001280;Горшок КС фиалка 13*8*0,5 глянец белый,керамика;80;80;80;белый;65;0,35;130;есть в наличии
Однотонная керамика;глянец;Колекция КС фиалка глянец;Каменный цветок;Нет;;Нет;;000001281;Горшок КС фиалка 13*8*0,5 глянец фиолет,керамика;80;80;80;фиолетовый;65;0,35;130;есть в наличии
Однотонная керамика;глянец;Колекция КС фиалка глянец;Каменный цветок;Нет;;Нет;;000001282;Горшок КС фиалка 13*8*0,5 глянец желтый ,керамика;80;80;80;желтый;65;0,35;130;есть в наличии
Однотонная керамика;глянец;Колекция КС фиалка глянец;Каменный цветок;Нет;;Нет;;000001283;Горшок КС фиалка 13*8*0,5 глянец зеленый,керамика;80;80;80;зеленый;65;0,35;130;есть в наличии
Однотонная керамика;глянец;Колекция КС фиалка глянец;Каменный цветок;Нет;;Нет;;000001284;Горшок КС фиалка 13*8*0,5 глянец оранж,керамика;80;80;80;оранжевый;65;0,35;130;Ожидается
Однотонная керамика;глянец;Колекция КС фиалка глянец;Каменный цветок;Нет;;Нет;;000001286;Горшок КС фиалка 13*8*0,5 глянец красный,керамика;80;80;80;красный;65;0,35;130;есть в наличии
Однотонная керамика;перламутр;Колекция КС фиалка перламутр;Каменный цветок;Нет;;Нет;;000001287;Горшок КС фиалка 13*8*0,5 люкс персик,керамика;80;80;80;персик;65;0,35;130;есть в наличии
Однотонная керамика;перламутр;Колекция КС фиалка перламутр;Каменный цветок;Нет;;Нет;;000001288;Горшок КС фиалка 13*8*0,5 люкс салат,керамика;80;80;80;салат;65;0,35;130;есть в наличии
Однотонная керамика;перламутр;Колекция КС фиалка перламутр;Каменный цветок;Нет;;Нет;;000001289;Горшок КС фиалка 13*8*0,5 люкс серебро,керамика;80;80;80;серебро;65;0,35;130;есть в наличии
Однотонная керамика;глянец;Колекция КС фиалка глянец;Каменный цветок;Нет;;Нет;;000001290;Горшок КС фиалка 16*9*1,0 глянец белый,керамика;107;107;107;белый;75;0,85;155;есть в наличии
Однотонная керамика;глянец;Колекция КС фиалка глянец;Каменный цветок;Нет;;Нет;;000001291;Горшок КС фиалка 16*9*1,0 глянец фиолет,керамика;107;107;107;фиолетовый;75;0,85;155;есть в наличии
Однотонная керамика;глянец;Колекция КС фиалка глянец;Каменный цветок;Нет;;Нет;;000001292;Горшок КС фиалка 16*9*1,0 глянец желтый,керамика;107;107;107;желтый;65;0,35;130;Ожидается
Однотонная керамика;глянец;Колекция КС фиалка глянец;Каменный цветок;Нет;;Нет;;000001293;Горшок КС фиалка 16*9*1,0 глянец зеленый,керамика;107;107;107;зеленый;75;0,35;155;Ожидается
Однотонная керамика;глянец;Колекция КС фиалка глянец;Каменный цветок;Нет;;Нет;;000001294;Горшок КС фиалка 16*9*1,0 глянец оранж,керамика;107;107;107;оранжевый;65;0,35;130;есть в наличии
Однотонная керамика;глянец;Колекция КС фиалка глянец;Каменный цветок;Нет;;Нет;;000001295;Горшок КС фиалка 16*9*1,0 глянец красный,керамика;107;107;107;красный;75;0,85;155;Ожидается
Однотонная керамика;перламутр;Колекция КС фиалка перламутр;Каменный цветок;Нет;;Нет;;000001297;Горшок КС фиалка 16*9*1,0 люкс персик,керамика;107;107;107;персик;75;0,85;155;Ожидается
Однотонная керамика;перламутр;Колекция КС фиалка перламутр;Каменный цветок;Нет;;Нет;;000001298;Горшок КС фиалка 16*9*1,0 люкс салат,керамика;107;107;107;салат;75;0,85;155;Ожидается
Однотонная керамика;перламутр;Колекция КС фиалка перламутр;Каменный цветок;Нет;;Нет;;000001299;Горшок КС фиалка 16*9*1,0 люкс серебро,керамика;107;107;107;серебро;75;0,85;155;Ожидается
Свечи;Свечи в керамическом горшке;Свеча в горшке Стандарт;Candle pot;Нет;Украина;Нет;;000001339;Свечкав горшке Стандарт 0,2*7*7 белая;39;39;39;белый;7;0,2;7;есть в наличии
Свечи;Свечи в керамическом горшке;Свеча в горшке Стандарт;Candle pot;Нет;Украина;Нет;;000001340;Свечкав горшке Стандарт 0,2*7*7 яблоко;39;39;39;салат;7;0,2;7;есть в наличии
Свечи;Свечи в керамическом горшке;Свеча в горшке Стандарт;Candle pot;Нет;Украина;Нет;;000001341;Свечкав горшке Стандарт 0,2*7*7 желтая;39;39;39;желтый;7;0,2;7;есть в наличии
Свечи;Свечи в керамическом горшке;Свеча в горшке Стандарт;Candle pot;Нет;Украина;Нет;;000001342;Свечкав горшке Стандарт 0,2*7*7 бордо;39;39;39;бордо;7;0,2;7;есть в наличии
Свечи;Свечи в керамическом горшке;Свеча в горшке Стандарт;Candle pot;Нет;Украина;Нет;;000001343;Свечкав горшке Стандарт 0,2*7*7 фиолетовая;39;39;39;фиолетовый;7;0,2;7;есть в наличии
Свечи;Свечи в керамическом горшке;Свеча в горшке Стандарт;Candle pot;Нет;Украина;Нет;;000001344;Свечкав горшке Стандарт 0,2*7*7 бирюза;39;39;39;бирюза;7;0,2;7;есть в наличии
Свечи;Свечи в керамическом горшке;Свеча в горшке Стандарт;Candle pot;Нет;Украина;Нет;;000001345;Свечкав горшке Стандарт 0,2*7*7 новый орандж;39;39;39;оранжевый;7;0,2;7;есть в наличии
Свечи;Свечи в керамическом горшке;Свеча в горшке Стандарт;Candle pot;Нет;Украина;Нет;;000001346;Свечкав горшке Стандарт 0,6*10*11 белая;79;79;79;белый;10;0,6;11;есть в наличии
Свечи;Свечи в керамическом горшке;Свеча в горшке Стандарт;Candle pot;Нет;Украина;Нет;;000001347;Свечкав горшке Стандарт 0,6*10*11 яблоко;79;79;79;салат;10;0,6;11;есть в наличии
Свечи;Свечи в керамическом горшке;Свеча в горшке Стандарт;Candle pot;Нет;Украина;Нет;;000001348;Свечкав горшке Стандарт 0,6*10*11 желтая;79;79;79;желтый;10;0,6;11;есть в наличии
Свечи;Свечи в керамическом горшке;Свеча в горшке Стандарт;Candle pot;Нет;Украина;Нет;;000001349;Свечкав горшке Стандарт 0,6*10*11 бордо;79;79;79;бордо;10;0,6;11;есть в наличии
Свечи;Свечи в керамическом горшке;Свеча в горшке Стандарт;Candle pot;Нет;Украина;Нет;;000001350;Свечкав горшке Стандарт 0,6*10*11 фиолетовая;79;79;79;фиолетовый;10;0,6;11;есть в наличии
Свечи;Свечи в керамическом горшке;Свеча в горшке Стандарт;Candle pot;Нет;Украина;Нет;;000001351;Свечкав горшке Стандарт 0,6*10*11 бирюза;79;79;79;бирюза;10;0,6;11;есть в наличии
Свечи;Свечи в керамическом горшке;Свеча в горшке Стандарт;Candle pot;Нет;Украина;Нет;;000001352;Свечкав горшке Стандарт 0,6*10*11 новый орандж;79;79;79;оранжевый;10;0,6;11;есть в наличии
Однотонная керамика;перламутр;Колекция Реприза;Зеленая сотка;Нет;;Нет;;000001379;Горшок Реприза 12*9,5*0,5 фисташковый,керамика;30;30;30;фисташка;9,5;0,5;12;Ожидается
Однотонная керамика;перламутр;Колекция Реприза;Зеленая сотка;Нет;;Нет;;000001380;Горшок Реприза 15*12*1,0 фисташковый,керамика;45;45;45;фисташка;12;1;15;Ожидается
Однотонная керамика;перламутр;Колекция Реприза;Зеленая сотка;Нет;;Нет;;000001381;Горшок Реприза 18*14*2,0 фисташковый,керамика;60;60;60;фисташка;14;2;18;Ожидается
Однотонная керамика;перламутр;Колекция Реприза;Зеленая сотка;Нет;;Нет;;000001382;Горшок Реприза 21*16*3,0 фисташковый,керамика;75;75;75;фисташка;16;3;21;есть в наличии
Однотонная керамика;перламутр;Колекция Реприза;Зеленая сотка;Нет;;Нет;;000001383;Горшок Реприза 12*9,5*0,5 золотой песок,керамика;30;30;30;золотой песок;9,5;0,5;12;Ожидается
Однотонная керамика;перламутр;Колекция Реприза;Зеленая сотка;Нет;;Нет;;000001384;Горшок Реприза 15*12*1,0 золотой песок,керамика;45;45;45;золотой песок;12;1;15;есть в наличии
Однотонная керамика;перламутр;Колекция Реприза;Зеленая сотка;Нет;;Нет;;000001385;Горшок Реприза 18*14*2,0 золотой песок,керамика;60;60;60;золотой песок;14;2;18;есть в наличии
Однотонная керамика;перламутр;Колекция Реприза;Зеленая сотка;Нет;;Нет;;000001386;Горшок Реприза 21*16*3,0 золотой песок,керамика;75;75;75;золотой песок;16;3;21;есть в наличии
Однотонная керамика;перламутр;Колекция Реприза;Зеленая сотка;Нет;;Нет;;000001387;Горшок Реприза 12*9,5*0,5 иний,керамика;30;30;30;иний;9,5;0,5;12;есть в наличии
Однотонная керамика;перламутр;Колекция Реприза;Зеленая сотка;Нет;;Нет;;000001388;Горшок Реприза 15*12*1,0иний,керамика;45;45;45;иний;12;1;15;есть в наличии
Однотонная керамика;перламутр;Колекция Реприза;Зеленая сотка;Нет;;Нет;;000001389;Горшок Реприза 18*14*2,0 иний,керамика;60;60;60;иний;14;2;18;есть в наличии
Однотонная керамика;перламутр;Колекция Реприза;Зеленая сотка;Нет;;Нет;;000001390;Горшок Реприза 21*16*3,0 иний,керамика;75;75;75;иний;16;3;21;есть в наличии
Однотонная керамика;Терракота;Колекция Азалия;ТЕРРА;Нет;Украина;Нет;;000001391;Горшок рельефний  азалия 28*22,5*3,0 керамика;109;109;109;терракота;14;3;21;есть в наличии
Однотонная керамика;Терракота;Колекция Кампана;ТЕРРА;Нет;Украина;Нет;;000001392;Горшок рельефний 19,5*15,5*3,0 керамика;94;94;94;терракота;15,5;3;19,5;есть в наличии
Однотонная керамика;Терракота;Колекция рельефний Колорадо;ТЕРРА;Нет;Украина;Нет;;000001393;Горшок рельефний 17*16,5*2,8 керамика;85;85;85;терракота;16,5;2,8;17;есть в наличии
Однотонная керамика;Терракота;Колекция Кампана;ТЕРРА;Нет;Украина;Нет;;000001394;Горшок рельефний 17*13*2,0 керамика;60;60;60;терракота;13;2;17;есть в наличии
Однотонная керамика;Терракота;Колекция Кампана;ТЕРРА;Нет;Украина;Нет;;000001395;Горшок рельефний 16*11,5*1,5 керамика;50;50;50;терракота;11,5;1,5;16;есть в наличии
Однотонная керамика;Терракота;Колекция Рельефний 0,7;ТЕРРА;Нет;Украина;Нет;;000001396;Горшок рельефний 10,5*9,5*0,7 керамика;33;33;33;терракота;9,5;0,7;10,5;есть в наличии
Однотонная керамика;Терракота;Колекция Кампана;ТЕРРА;Нет;Украина;Нет;;000001397;Горшок рельефний 11*9,5*0,6 керамика;30;30;30;терракота;9,5;0,6;11;есть в наличии
Однотонная керамика;Терракота;Колекция Кампана;ТЕРРА;Нет;Украина;Нет;;000001398;Горшок рельефний 7,5*6*0,15 керамика;20;20;20;терракота;;0,15;7,5;есть в наличии
Однотонная керамика;Терракота;Колекция Стандарт;ТЕРРА;Нет;Украина;Нет;;000001399;Горшок гладкий 28*22,5*10,0 керамика;284;284;284;терракота;22,5;;28;есть в наличии
Однотонная керамика;Терракота;Колекция Стандарт;ТЕРРА;Нет;Украина;Нет;;000001400;Горшок гладкий 21,5*18,5*4,5 керамика;118;118;118;терракота;18,5;4,5;21;есть в наличии
Однотонная керамика;Терракота;Колекция Стандарт;ТЕРРА;Нет;Украина;Нет;;000001401;Горшок гладкий 15,5*13,5*2,0 керамика;50;50;50;терракота;13,5;2;15,5;есть в наличии
Однотонная керамика;Терракота;Колекция Стандарт;ТЕРРА;Нет;Украина;Нет;;000001402;Горшок гладкий 13*12*1,1 керамика;41;41;41;терракота;12;1,1;13;есть в наличии
Однотонная керамика;Терракота;Колекция Стандарт;ТЕРРА;Нет;Украина;Нет;;000001403;Горшок гладкий 11,5*10*0,6 керамика;30;30;30;терракота;10;0,6;11,5;есть в наличии
Однотонная керамика;Терракота;Колекция Стандарт;ТЕРРА;Нет;Украина;Нет;;000001404;Горшок гладкий 7,5*7*0,2 керамика;20;20;20;терракота;7;0,2;7,5;есть в наличии
Однотонная керамика;Терракота;Колекция Фиалка ;ТЕРРА;Нет;Украина;Нет;;000001405;Горшок фиалка 11*8*0,5 керамика;30;30;30;терракота;8;0,5;11;есть в наличии
Однотонная керамика;Терракота;Колекция Пиала Гладкая;ТЕРРА;Нет;Украина;Нет;;000001406;Пиала гладкая 16,5*8,5*1,0 керамика;47;47;47;терракота;8,5;1;16;есть в наличии
Однотонная керамика;Терракота;Колекция Пиала Рельефная;ТЕРРА;Нет;Украина;Нет;;000001407;Пиала рельефная 17,5*9,5*1,0 керамика;47;47;47;терракота;9,5;1;17,5;есть в наличии
Однотонная керамика;Терракота;Колекция Пиала Гладкая;ТЕРРА;Нет;Украина;Нет;;000001408;Пиала гладкая 13*6,5*0,6 керамика;30;30;30;терракота;6,5;0,6;13;есть в наличии
Однотонная керамика;Терракота;Колекция Пиала Рельефная;ТЕРРА;Нет;Украина;Нет;;000001409;Пиала рельефная 12*6,5*0,5 керамика;30;30;30;терракота;6,5;0,5;12;есть в наличии
Однотонная керамика;Терракота;Колекция Ирис;ТЕРРА;Нет;Украина;Нет;;000001410;Горшок Ирис 14*12*1,4 керамика;57;57;57;терракота;12;1,4;14;есть в наличии
Однотонная керамика;Терракота;Колекция Ирис;ТЕРРА;Нет;Украина;Нет;;000001411;Горшок Ирис 11*9,5*0,6 керамика;36;36;36;терракота;9,5;0,6;11;есть в наличии
Однотонная керамика;Терракота;Колекция Ирис;ТЕРРА;Нет;Украина;Нет;;000001412;Горшок Ирис 8*7*0,25 керамика;23;23;23;терракота;7;0,25;8;есть в наличии
Однотонная керамика;Терракота;Колекция Жасмин;ТЕРРА;Нет;Украина;Нет;;000001413;Горшок Жасмин 12*9*0,8 керамика;36;36;36;терракота;9;0,8;12;есть в наличии
Однотонная керамика;Терракота;Колекция Барбарис;ТЕРРА;Нет;Украина;Нет;;000001414;Горшок Барбарис 15*16*2,0 керамика;60;60;60;терракота;14;2;15;есть в наличии
Комплектующие;Поддоны керамические;Колекция поддон Стандарт;ТЕРРА;Нет;Украина;Нет;;000001415;Поддон d 55;6;6;6;терракота;1,5;;5,5;есть в наличии
Комплектующие;Поддоны керамические;Колекция поддон Ирис;ТЕРРА;Нет;Украина;Нет;;000001416;Поддон d 85;8;8;8;терракота;2;;8,5;есть в наличии
Комплектующие;Поддоны керамические;Колекция поддон Стандарт;ТЕРРА;Нет;Украина;Нет;;000001417;Поддон d 110 ;9;9;9;терракота;2;;11;есть в наличии
Комплектующие;Поддоны керамические;Колекция поддон Ирис;ТЕРРА;Нет;Украина;Нет;;000001418;Поддон d 125;11;11;11;терракота;2,2;;12,5;есть в наличии
Комплектующие;Поддоны керамические;Колекция поддон Ирис;ТЕРРА;Нет;Украина;Нет;;000001419;Поддон d 145;21;21;21;терракота;3;;14,5;есть в наличии
Комплектующие;Поддоны керамические;Колекция поддон Стандарт;ТЕРРА;Нет;Украина;Нет;;000001420;Поддон d 175;24;24;24;терракота;3;;17,5;есть в наличии
Комплектующие;Поддоны керамические;Колекция поддон Стандарт;ТЕРРА;Нет;Украина;Нет;;000001421;Поддон d 210;36;36;36;терракота;4;;21;есть в наличии
;;;;;;;;000001487;Горшок Сонет 10*10*0,5 желтый серпантин, керамика;37;37;37;;;;;есть в наличии
;;;;;;;;000001488;Горшок Сонет 13*12,5*1,0 желтый серпантин, керамика;57;57;57;;;;;есть в наличии
;;;;;;;;000001489;Горшок Сонет 15*14,5*2,0 желтый серпантин, керамика;74;74;74;;;;;есть в наличии
Удобрения;для комнатных растений;Стимовит 0,5 для сурфинии;RICH LAND;Нет;Украина;Нет;;000001577;Стимовит 0,5 для сурфиний;15;15;15;без цвета;;0,5;;есть в наличии
Удобрения;для комнатных растений;Стимовит 0,5 для декоративно-лиственых растений;RICH LAND;Нет;Украина;Нет;;000001578;Стимовит 0,5 для декоративно-лиственых растений;15;15;15;без цвета;;0,5;;есть в наличии
Удобрения;для комнатных растений;Стимовит 0,5 для овощей;RICH LAND;Нет;Украина;Нет;;000001646;Стимовит 0,5 для овощей;15;15;15;без цвета;;0,5;;Ожидается
Керамика с росписью;Терра-декор;Колекция Гладкий бамбук беж;Терра Декор;Нет;Украина;Нет;;000001652;Горшок гладкий 11,5*10*0,6 бамбук беж керамика;55;55;55;бежевый;10;0,6;11,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий бамбук белый;Терра Декор;Нет;Украина;Нет;;000001653;Горшок гладкий 11,5*10*0,6 бамбук белый керамика;55;55;55;белый;10;0,6;11,5;есть в наличии
Керамика с росписью;Терра-декор;Колекция Гладкий рябь беж;Терра Декор;Нет;Украина;Нет;;000001654;Горшок гладкий 11,5*10*0,6 рябь беж керамика;55;55;55;бежевый;10;0,6;11,5;есть в наличии
